Name,Date,GF,GA
Calz,2023-03-02,16,17
Helmet,2023-03-02,16,17
Kim,2023-03-02,16,17
Mate,2023-03-02,16,17
Peggy,2023-03-02,16,17
Gilet,2023-03-02,17,16
Reaper,2023-03-02,17,16
Schurrle,2023-03-02,17,16
Keysey,2023-03-02,17,16
Wilf,2023-03-02,17,16
Gilet,2023-03-09,13,22
Helmet,2023-03-09,13,22
Mate,2023-03-09,13,22
Noel,2023-03-09,13,22
Reaper,2023-03-09,13,22
Calz,2023-03-09,22,13
Kim,2023-03-09,22,13
Virlo,2023-03-09,22,13
Wilf,2023-03-09,22,13
Gilet,2023-03-16,19,10
Schurrle,2023-03-16,19,10
Virlo,2023-03-16,19,10
Wilf,2023-03-16,19,10
Kim,2023-03-16,10,19
Mate,2023-03-16,10,19
Noel,2023-03-16,10,19
Reaper,2023-03-16,10,19
Mate,2023-03-23,4,9
Noel,2023-03-23,4,9
Kim,2023-03-23,4,9
Calz,2023-03-23,9,4
Reaper,2023-03-23,9,4
Wilf,2023-03-23,9,4
Kim,2023-03-30,12,17
Noel,2023-03-30,12,17
Peggy,2023-03-30,12,17
Helmet,2023-03-30,12,17
Calz,2023-03-30,17,12
Mate,2023-03-30,17,12
Reaper,2023-03-30,17,12
Gilet,2023-04-06,17,19
Mate,2023-04-06,17,19
Reaper,2023-04-06,17,19
Wilf,2023-04-06,19,17
Noel,2023-04-06,19,17
Kim,2023-04-06,19,17
Schurrle,2023-04-06,19,17
