Name,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12
Helmet,,3.0,5.0,5.0,5.0,5,3,2,2,1,1,1
Golfer,,2.0,3.0,3.0,4.0,4,5,4,4,4,3,2
Gummy,1.0,1.0,1.0,1.0,1.0,1,4,5,5,5,4,3
Einstein,4.0,5.0,4.0,4.0,3.0,3,2,1,1,2,2,4
Guppy,,,,,6.0,6,7,9,6,10,6,5
Schurrle,,4.0,2.0,2.0,2.0,2,1,3,3,3,5,6
Venus,,,,,,14,11,7,7,6,7,7
Novak,6.0,9.0,13.0,15.0,17.0,19,17,10,15,11,12,8
Snoop,,11.0,12.0,13.0,15.0,17,6,6,8,12,13,9
Calz,,,,,,13,10,12,9,8,9,10
Pinkman,,10.0,8.0,6.0,9.0,15,12,13,12,9,10,11
Wilf,,,,12.0,14.0,12,9,11,10,13,14,12
JD Wetherspoon,,,9.0,8.0,10.0,9,15,8,11,7,8,13
Noel,3.0,7.0,6.0,10.0,12.0,7,13,14,13,14,11,14
Keysey,5.0,8.0,7.0,7.0,7.0,11,8,17,16,16,15,15
Zola,7.0,12.0,14.0,14.0,16.0,18,19,18,17,17,16,16
Reaper,,,10.0,9.0,11.0,8,14,15,14,15,17,17
Kim,2.0,6.0,11.0,11.0,13.0,16,16,16,18,18,18,18
Gilet,,,,,8.0,10,18,19,19,19,19,19
