,JD Wetherspoon,Snoop,Schurrle,Gummy,Calz,Wilf,Helmet,Kimbo,Camilla,Noel,Reaper,Gilet,Venus Williams,Golfmin,Einstein,Zola,Keysey,Novak,Pinkman
Week1,8.0,,,,1.0,9.0,7.0,,2.0,,,,5.0,6.0,,10.0,3.0,4.0,
Week2,7.0,,,1.0,9.0,8.0,12.0,,3.0,2.0,,11.0,6.0,10.0,,13.0,4.0,5.0,
Week3,3.0,,,5.0,12.0,4.0,13.0,,6.0,1.0,11.0,10.0,2.0,14.0,,7.0,8.0,9.0,
Week4,5.0,,,7.0,12.0,3.0,14.0,,4.0,1.0,15.0,10.0,2.0,11.0,9.0,6.0,8.0,13.0,
Week5,5.0,4.0,,10.0,12.0,3.0,13.0,,7.0,2.0,16.0,11.0,1.0,14.0,8.0,6.0,9.0,15.0,
Week6,6.0,5.0,,10.0,12.0,2.0,9.0,,8.0,3.0,16.0,11.0,1.0,15.0,4.0,7.0,13.0,14.0,
Week7,4.0,5.0,,10.0,7.0,1.0,13.0,,8.0,3.0,16.0,12.0,2.0,15.0,9.0,6.0,14.0,11.0,
Week8,4.0,5.0,6.0,11.0,9.0,2.0,15.0,,10.0,1.0,17.0,12.0,3.0,16.0,8.0,7.0,14.0,13.0,
Week9,4.0,3.0,6.0,9.0,10.0,2.0,16.0,,11.0,1.0,17.0,12.0,5.0,14.0,7.0,8.0,15.0,13.0,
Week10,3.0,4.0,5.0,10.0,7.0,1.0,17.0,,11.0,2.0,16.0,12.0,6.0,13.0,9.0,8.0,15.0,14.0,
Week11,3.0,4.0,6.0,12.0,9.0,2.0,16.0,,7.0,1.0,17.0,11.0,8.0,13.0,5.0,10.0,15.0,14.0,
Week12,2.0,3.0,7.0,11.0,6.0,4.0,17.0,,8.0,1.0,16.0,12.0,9.0,13.0,5.0,10.0,15.0,14.0,
Week13,2.0,4.0,10.0,7.0,6.0,3.0,18.0,12.0,5.0,1.0,17.0,13.0,8.0,15.0,9.0,14.0,16.0,11.0,
Week14,1.0,3.0,6.0,5.0,7.0,4.0,19.0,11.0,9.0,2.0,18.0,12.0,8.0,10.0,15.0,13.0,17.0,16.0,14.0
Week15,1.0,2.0,6.0,5.0,9.0,4.0,19.0,12.0,8.0,3.0,18.0,10.0,7.0,11.0,15.0,14.0,17.0,16.0,13.0
Week16,3.0,1.0,7.0,5.0,8.0,4.0,19.0,12.0,10.0,2.0,17.0,6.0,9.0,11.0,15.0,14.0,16.0,18.0,13.0
Week17,3.0,1.0,9.0,5.0,6.0,4.0,19.0,10.0,15.0,2.0,18.0,7.0,14.0,8.0,13.0,11.0,17.0,16.0,12.0
Week18,4.0,1.0,10.0,2.0,7.0,5.0,19.0,14.0,13.0,3.0,15.0,6.0,18.0,8.0,12.0,11.0,17.0,16.0,9.0
Week19,4.0,1.0,9.0,2.0,6.0,5.0,19.0,17.0,16.0,3.0,11.0,7.0,18.0,8.0,14.0,12.0,15.0,13.0,10.0
Week20,2.0,1.0,10.0,3.0,6.0,5.0,19.0,17.0,18.0,4.0,13.0,7.0,16.0,8.0,12.0,14.0,15.0,11.0,9.0
Week21,2.0,1.0,9.0,4.0,6.0,3.0,19.0,12.0,17.0,5.0,13.0,7.0,16.0,8.0,14.0,18.0,15.0,10.0,11.0
Week22,2.0,1.0,11.0,3.0,6.0,4.0,19.0,16.0,15.0,5.0,10.0,7.0,14.0,9.0,17.0,13.0,18.0,12.0,8.0
Week23,4.0,1.0,8.0,3.0,6.0,2.0,15.0,18.0,14.0,5.0,10.0,7.0,17.0,9.0,16.0,13.0,19.0,11.0,12.0
Week24,4.0,1.0,8.0,3.0,6.0,2.0,15.0,18.0,14.0,5.0,11.0,7.0,17.0,9.0,16.0,13.0,19.0,12.0,10.0
Week25,4.0,1.0,12.0,2.0,5.0,3.0,17.0,14.0,10.0,6.0,16.0,7.0,13.0,9.0,18.0,15.0,19.0,11.0,8.0
Week26,3.0,2.0,10.0,1.0,5.0,4.0,17.0,16.0,9.0,6.0,15.0,7.0,12.0,11.0,19.0,14.0,18.0,13.0,8.0
Week27,3.0,2.0,11.0,1.0,5.0,4.0,16.0,19.0,8.0,6.0,12.0,7.0,15.0,10.0,18.0,17.0,14.0,13.0,9.0
Week28,4.0,2.0,14.0,1.0,5.0,3.0,12.0,17.0,8.0,6.0,15.0,7.0,11.0,10.0,19.0,18.0,16.0,13.0,9.0
Week29,3.0,2.0,13.0,1.0,5.0,4.0,12.0,16.0,8.0,6.0,17.0,7.0,11.0,10.0,19.0,18.0,15.0,14.0,9.0
Week30,3.0,2.0,10.0,1.0,5.0,4.0,9.0,18.0,7.0,6.0,17.0,8.0,14.0,12.0,19.0,16.0,15.0,13.0,11.0
Week31,2.0,3.0,9.0,1.0,5.0,4.0,8.0,18.0,7.0,6.0,16.0,10.0,14.0,13.0,19.0,17.0,15.0,11.0,12.0
Week32,2.0,3.0,9.0,1.0,5.0,4.0,8.0,17.0,7.0,6.0,13.0,10.0,14.0,12.0,19.0,18.0,16.0,11.0,15.0
Week33,2.0,3.0,9.0,1.0,6.0,4.0,8.0,13.0,7.0,5.0,10.0,11.0,12.0,15.0,19.0,18.0,17.0,14.0,16.0
Week34,3.0,2.0,8.0,1.0,5.0,4.0,10.0,11.0,7.0,6.0,9.0,12.0,13.0,17.0,19.0,16.0,18.0,14.0,15.0
Week35,3.0,2.0,8.0,1.0,5.0,4.0,10.0,12.0,7.0,6.0,9.0,11.0,13.0,18.0,19.0,17.0,16.0,14.0,15.0
Week36,3.0,2.0,7.0,1.0,5.0,4.0,11.0,10.0,8.0,6.0,9.0,12.0,13.0,15.0,19.0,18.0,17.0,16.0,14.0
Week37,3.0,1.0,5.0,2.0,6.0,4.0,9.0,12.0,8.0,7.0,11.0,10.0,13.0,14.0,19.0,17.0,16.0,18.0,15.0
Week38,3.0,1.0,5.0,2.0,6.0,4.0,9.0,12.0,7.0,8.0,11.0,10.0,14.0,13.0,19.0,16.0,15.0,17.0,18.0
Week39,1.0,2.0,4.0,3.0,5.0,6.0,9.0,10.0,7.0,8.0,14.0,12.0,13.0,11.0,17.0,16.0,15.0,18.0,19.0
Week40,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0
